//Output time: 2026-05-11-17-30
//Input table: Item
//Author: @rjbayue
//Channel: @byrj6

//If you delete the above information, may your whole family die a horrible death.
//May your parents get their heads crushed by a truck tire when they go out.
//May your girlfriend get pregnant after being raped by a beggar.

BPID | ItemID | Name | Type | Quality
1000 | e8030000 | BP | Currency | Green
1001 | e9030000 | Silver | Currency | Blue
1002 | ea030000 | Health | Currency | Black
1003 | eb030000 | EXP | Currency | Black
1004 | ec030000 | Activity | Currency | Black
1006 | ee030000 | UC | Currency | Red
1008 | f0030000 | Vitality Energy | Currency | Black
1009 | f1030000 | Clan Points | Currency | Black
1010 | f2030000 | Clan Funds | Currency | Black
1014 | f6030000 | Activity | Currency | Black
1016 | f8030000 | Activity | Currency | Black
1017 | f9030000 | Activity | Currency | Black
1018 | fa030000 | Weekly Activity | Currency | Black
1019 | fb030000 | Roommate Rapport | Currency | Black
1024 | 00040000 | Theme Token | Item | Purple
1025 | 01040000 | Treasure Coin | Currency | Red
1026 | 02040000 | Evo EXP | Currency | Black
1027 | 03040000 | WOW Pass Points | Currency | Black
1080 | 38040000 | WOW Play EXP | Currency | Green
1081 | 39040000 | WOW Creation Token | Currency | Green
1082 | 3a040000 | WOW Weekly Activity | Currency | Black
1083 | 3b040000 | WOW Creator EXP | Currency | Green
1084 | 3c040000 | Challenge Points | Currency | Green
1085 | 3d040000 | Advanced Wonder Season Points | Item | Pink
1098 | 4a040000 | Mission Activity Points | Currency | Black
1099 | 4b040000 | RP Points | Currency | Black
1100 | 4c040000 | Achievement Points | Currency | Black
1101 | 4d040000 | Donkatsu Medal | Currency | Red
1102 | 4e040000 | Challenge Coin | Currency | Black
1103 | 4f040000 | Battle Coin | Item | Black
1104 | 50040000 | Golden Fragment | Currency | Pink
1105 | 51040000 | Recall Token | Currency | Black
1109 | 55040000 | AG | Currency | Purple
1110 | 56040000 | Choice Reward Pack | Currency | Red
1111 | 57040000 | Talent Coin | Currency | Black
1112 | 58040000 | Reward Selection Pack A | Currency | Red
1113 | 59040000 | Reward Selection Pack B | Currency | Red
1114 | 5a040000 | Reward Selection Pack C | Currency | Red
1115 | 5b040000 | Returner Medal | Currency | Black
1116 | 5c040000 | Reward Selection Pack A | Currency | Red
1117 | 5d040000 | Reward Selection Pack B | Currency | Red
1118 | 5e040000 | Prize Path Point | Currency | Purple
1119 | 5f040000 | Prize Path Point | Currency | Purple
1120 | 60040000 | Prize Path Point | Currency | Purple
1121 | 61040000 | Bonus Pass Points | Currency | Black
1122 | 62040000 | Prize Path Point | Currency | Purple
1123 | 63040000 | Prize Path Point | Currency | Purple
1124 | 64040000 | Casual Points | Item | Purple
1125 | 65040000 | Advanced Casual Points | Item | Pink
1126 | 66040000 | Prize Path Point | Currency | Purple
1127 | 67040000 | Prize Path Point | Currency | Purple
1129 | 69040000 | WOW Token | Currency | Red
1130 | 6a040000 | RP Points Voucher | Currency | Black
1201 | b1040000 | Classic Energy | Currency | Black
1202 | b2040000 | Casual Energy | Currency | Black
1203 | b3040000 | Royale Energy | Currency | Black
1204 | b4040000 | Clan Activity Points | Currency | Black
1206 | b6040000 | MC | Currency | Black
1207 | b7040000 | Winter Coin | Homestead Craft Mat | Blue
1208 | b8040000 | Home Coin | Currency | Blue
1209 | b9040000 | Elite Home Coin | Currency | Pink
1210 | ba040000 | Craftsman's Key | Currency | Pink
1211 | bb040000 | Elite Craftsman's Pass | Currency | Pink
1220 | c4040000 | Frost Point | Currency | Purple
1221 | c5040000 | Friendship | Currency | Black
1222 | c6040000 | Friendship | Currency | Black
1230 | ce040000 | Parking Token | Homestead Item | Purple
1231 | cf040000 | Home Token | Homestead Item | Pink
1250 | e2040000 | Exclusive Voucher | Item | Black
1251 | e3040000 | Exclusive Voucher | Item | Black
1252 | e4040000 | Exclusive Voucher | Item | Black
1253 | e5040000 | Exclusive Voucher | Item | Black
1254 | e6040000 | Exclusive Voucher | Item | Black
1255 | e7040000 | Exclusive Voucher | Item | Black
1256 | e8040000 | Exclusive Voucher | Item | Black
1257 | e9040000 | Exclusive Voucher | Item | Black
1258 | ea040000 | Exclusive Voucher | Item | Black
1259 | eb040000 | Exclusive Voucher | Item | Black
1260 | ec040000 | Exclusive Voucher | Item | Black
1261 | ed040000 | Exclusive Voucher | Item | Black
1262 | ee040000 | Exclusive Voucher | Item | Black
1263 | ef040000 | Exclusive Voucher | Item | Black
1264 | f0040000 | Deal Voucher | Item | Black
1265 | f1040000 | Deal Voucher | Item | Black
1300 | 14050000 | Nusa Coin | Currency | Purple
1301 | 15050000 | Metro Cash | Currency | Black
1302 | 16050000 | Talent Points | Currency | Black
1303 | 17050000 | Cyber Points | Currency | Black
1304 | 18050000 | Inventory capacity | Currency | Black
1305 | 19050000 | Fame | Currency | Black
1310 | 1e050000 | Undercover Agent ID | Currency | Black
1311 | 1f050000 | Vera's Favorability | Currency | Black
1312 | 20050000 | Ian's Favorability | Currency | Black
1313 | 21050000 | Katia's Favorability | Currency | Black
1314 | 22050000 | Free Mystery Shop Refreshes | Currency | Black
1315 | 23050000 | Katia's Support Lv. 1 | Currency | Black
1316 | 24050000 | Katia's Support Lv. 2 | Currency | Black
1317 | 25050000 | Katia's Support Lv. 3 | Currency | Black
1319 | 27050000 | Metro Royale Honor | Currency | Black
1320 | 28050000 | Rookie Points | Item | Purple
1321 | 29050000 | Rookie Mission Points | Currency | Black
1322 | 2a050000 | Ray Pass Points | Currency | Black
1323 | 2b050000 | Exploration Points | Currency | Purple
1324 | 2c050000 | Exploration Points | Currency | Purple
1325 | 2d050000 | Exploration Points | Currency | Purple
1326 | 2e050000 | Exploration Points | Currency | Purple
1327 | 2f050000 | Exploration Points | Currency | Purple
1328 | 30050000 | Exploration Points | Currency | Purple
1329 | 31050000 | Exploration Points | Currency | Purple
1330 | 32050000 | Mystery Shop Refresh Discount | Currency | Black
1331 | 33050000 | Exploration Points | Currency | Purple
1332 | 34050000 | Progress | Currency | Black
1333 | 35050000 | Exploration Points | Currency | Purple
1334 | 36050000 | Exploration Points | Currency | Purple
1415 | 87050000 | Return Points | Currency | Black
2250 | ca080000 | Exclusive Voucher | Item | Black
2251 | cb080000 | Exclusive Voucher | Item | Black
2252 | cc080000 | Exclusive Voucher | Item | Black
2253 | cd080000 | Exclusive Voucher | Item | Black
2254 | ce080000 | Exclusive Voucher | Item | Black
2350 | 2e090000 | Exclusive Voucher | Item | Black
2351 | 2f090000 | Exclusive Voucher | Item | Black
2352 | 30090000 | Exclusive Voucher | Item | Black
2353 | 31090000 | Exclusive Voucher | Item | Black
2354 | 32090000 | Deal Voucher | Item | Black
2355 | 33090000 | Home Face-Off Mystery Reward | Item | Black
2356 | 34090000 | Reward | Currency | Black
2357 | 35090000 | US $100 | Currency | Red
2401 | 61090000 | Exclusive Voucher | Item | Black
10001 | 11270000 | Newbie | Achievement Avatar | Green
10002 | 12270000 | Icon | Achievement Avatar | Blue
11001 | f92a0000 | Soccer Points | Currency | Black
20001 | 214e0000 | Season Portable Closet | Costume Backpack | Black
20002 | 224e0000 | Removal Card (7-Day) | Item | Black
20003 | 234e0000 | Removal Card (30-Day) | Item | Black
20004 | 244e0000 | Remove Card | Item | Black
20005 | 254e0000 | Shared Portable Closet | Costume Backpack | Purple
20006 | 264e0000 | Season Portable Closet (Plus Exclusive) | Costume Backpack | Black
23561 | 095c0000 | Reward | Currency | Black
23562 | 0a5c0000 | Ninja Rank Credits | Item | Purple
30001 | 31750000 | Berserker | Achievement Avatar | Blue
30002 | 32750000 | Sharpshooter | Achievement Avatar | Purple
30003 | 33750000 | Rookie | Achievement Avatar | Green
